"","SHOT_NUMBER","PERIOD","GAME_CLOCK","SHOT_CLOCK","DRIBBLES","TOUCH_TIME","SHOT_RESULT","CLOSE_DEF_DIST","MINUTES_REMAINING","SECONDS_REMAINING","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","DEFENDER_POSITION","DEFENDER_HEIGHT","DEFENDER_WEIGHT","DEFENDER_AGE","DEFENDER_EXPERIENCE"
"1",4,"1",388,7.2,3,5,"missed",6.3,6,25,"Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.",19,125,154,"FC",83,253,39,19
"2",11,"3",682,10,0,0,"missed",10.9,11,15,"Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",25,77,244,"G",78,212,36,18
"3",9,"2",37,7.3,10,9.8,"made",6,0,35,"Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.",14,17,148,"G",78,212,36,18
"4",8,"2",355,13.2,3,2.8,"missed",3.5,5,52,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,-2,-3,"F",83,250,39,17
"5",5,"1",269,16.8,5,5.6,"missed",5,4,25,"Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.",14,129,67,"F",83,250,39,17
"6",16,"4",136,4.3,3,3.3,"missed",3,2,13,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,4,7,"F",83,250,39,17
"7",11,"3",502,12.5,9,9.6,"missed",2.2,8,19,"Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",12,-114,41,"F",83,250,39,17
"8",12,"2",464,8.4,2,4,"made",8.5,7,41,"Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",28,-87,271,"F",79,235,37,16
"9",13,"2",444,16.2,1,2,"missed",5.6,7,21,"Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",27,-54,269,"F",79,235,37,16
"10",14,"3",495,8.8,0,1.2,"made",7.5,8,12,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",29,-149,254,"F",79,235,37,16
"11",3,"1",578,12,2,2.8,"made",1,9,37,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,0,-13,"F",79,235,37,16
"12",15,"3",466,12.5,0,0.7,"made",5.6,7,43,"Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",26,222,142,"F",79,235,37,16
"13",16,"3",457,8.9,3,3.4,"missed",6.7,7,34,"Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",26,86,246,"F",79,235,37,16
"14",14,"3",666,20.4,1,0.9,"made",2.7,11,5,"Fadeaway Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",8,-78,31,"F",79,235,37,16
"15",1,"1",688,13.2,0,0.8,"missed",6,11,25,"Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.",20,-144,151,"F",79,235,37,16
"16",12,"2",56,20.5,3,3.4,"missed",5.3,0,52,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",25,-120,227,"F",79,235,37,16
"17",5,"1",359,11,1,5.8,"missed",5.5,5,57,"Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",13,-136,22,"F",79,235,37,16
"18",6,"2",231,2.3,0,3.5,"made",4.9,3,48,"Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.",18,-130,134,"F",79,235,37,16
"19",17,"3",161,6.6,16,18,"made",9.8,2,39,"Fadeaway Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.",15,72,132,"F",79,235,37,16
"20",8,"2",63,19.3,5,4.5,"missed",5.7,0,58,"Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",25,-41,255,"F",79,235,37,16
"21",20,"4",275,4.8,3,4,"missed",3,4,33,"Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.",19,-172,97,"F",79,235,37,16
"22",15,"3",646,5.2,0,1,"missed",8.1,10,43,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",28,-101,266,"F",79,235,37,16
"23",6,"1",336,6.4,6,7.5,"missed",2.9,5,33,"Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.",20,110,168,"F",79,235,37,16
"24",14,"4",477,14.2,13,9.9,"missed",2.3,7,54,"Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",11,-116,19,"G",78,205,37,12
"25",3,"1",588,17.5,0,1.2,"missed",4.4,9,45,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",26,-119,242,"FC",84,250,34,13
"26",20,"4",575,14.2,11,9.2,"missed",1.2,9,33,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,-2,26,"FC",84,250,34,13
"27",8,"1",145,17.5,5,6.9,"missed",11.5,2,23,"Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.",21,-15,216,"FC",84,250,34,13
"28",14,"3",551,18.2,3,2.4,"made",1.9,9,9,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,-19,6,"FC",84,250,34,13
"29",12,"2",104,10.1,2,2.7,"made",2.4,1,42,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,0,-8,"FC",84,250,34,13
"30",15,"3",517,15.3,1,1.4,"made",2.5,8,36,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,10,11,"FC",84,250,34,13
"31",2,"1",443,7.8,0,6.3,"missed",4.6,7,20,"Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.",18,-155,97,"F-G",79,240,34,13
"32",15,"4",355,0.6,11,13.8,"made",1.8,5,52,"Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.",16,-152,52,"F-G",79,240,34,13
"33",3,"1",242,5.2,0,2.8,"made",5,3,59,"Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.",22,228,25,"F-G",79,240,34,13
"34",1,"1",502,9,2,2.3,"missed",3.8,8,19,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,-2,7,"F-G",79,240,34,13
"35",11,"3",364,8.6,13,10.2,"missed",3.1,6,0,"Running Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",3,24,19,"F-G",79,240,34,13
"36",3,"1",364,12.7,3,2.6,"made",2.6,6,3,"Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",5,50,15,"F",81,230,34,12
"37",5,"1",251,16.8,0,0.8,"missed",5.3,4,11,"Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.",18,114,142,"F",81,230,34,12
"38",26,"5",223,24,0,0,"made",11.6,3,43,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,20,14,"F",81,230,34,12
