"","CLOSEST_DEFENDER_PLAYER_ID","GAME_ID","MATCHUP","LOCATION","W","FINAL_MARGIN","SHOT_NUMBER","PERIOD","GAME_CLOCK","SHOT_CLOCK","DRIBBLES","TOUCH_TIME","PTS_TYPE","SHOT_RESULT","CLOSEST_DEFENDER","CLOSE_DEF_DIST","FGM","PTS","player_id","GRID_TYPE","GAME_EVENT_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","DEFENDER_NAME","DEFENDER_NICKNAME","DEFENDER_POSITION","DEFENDER_HEIGHT","DEFENDER_WEIGHT","DEFENDER_AGE","DEFENDER_EXPERIENCE"
"1",708,21400786,"FEB 10, 2015 - MEM vs. BKN","H","W",9,1,1,"10:43",13.4,0,2.1,2,"made","Garnett, Kevin",5.2,1,2,201188,"Shot Chart Detail",7,"Marc Gasol",1610612763,"Memphis Grizzlies",10,40,"Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.",12,119,47,"Kevin Garnett","Kevin","FC",83,253,39,"19"
"2",708,21400873,"FEB 28, 2015 - MEM @ MIN","A","W",4,4,2,"0:13",NA,0,0.2,2,"made","Garnett, Kevin",2,1,2,201188,"Shot Chart Detail",228,"Marc Gasol",1610612763,"Memphis Grizzlies",0,12,"Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,-12,11,"Kevin Garnett","Kevin","FC",83,253,39,"19"
"3",977,21400104,"NOV 11, 2014 - MEM vs. LAL","H","W",5,2,1,"7:48",15.4,0,0.8,2,"made","Bryant, Kobe",7.2,1,2,201188,"Shot Chart Detail",35,"Marc Gasol",1610612763,"Memphis Grizzlies",7,46,"Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.",15,-34,148,"Kobe Bryant","Kobe","G",78,212,36,"18"
"4",977,21400104,"NOV 11, 2014 - MEM vs. LAL","H","W",5,4,1,"3:24",9.5,0,0.7,2,"made","Bryant, Kobe",4.4,1,2,201188,"Shot Chart Detail",74,"Marc Gasol",1610612763,"Memphis Grizzlies",3,21,"Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",5,17,53,"Kobe Bryant","Kobe","G",78,212,36,"18"
"5",977,21400222,"NOV 26, 2014 - MEM @ LAL","A","W",6,6,3,"7:42",12.2,1,2.3,2,"made","Bryant, Kobe",3.5,1,2,201188,"Shot Chart Detail",307,"Marc Gasol",1610612763,"Memphis Grizzlies",7,39,"Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,-13,14,"Kobe Bryant","Kobe","G",78,212,36,"18"
"6",1495,21400375,"DEC 17, 2014 - MEM @ SAS","A","W",1,1,1,"11:41",5.4,0,0.8,2,"made","Duncan, Tim",7.2,1,2,201188,"Shot Chart Detail",2,"Marc Gasol",1610612763,"Memphis Grizzlies",11,38,"Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.",17,-106,145,"Tim Duncan","Tim","F",83,250,39,"17"
"7",1495,21400468,"DEC 30, 2014 - MEM vs. SAS","H","W",8,1,1,"7:54",15.4,0,0.9,2,"made","Duncan, Tim",6.9,1,2,201188,"Shot Chart Detail",41,"Marc Gasol",1610612763,"Memphis Grizzlies",7,52,"Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.",18,-122,138,"Tim Duncan","Tim","F",83,250,39,"17"
"8",1495,21400375,"DEC 17, 2014 - MEM @ SAS","A","W",1,2,1,"9:25",10,0,2,2,"missed","Duncan, Tim",5.1,0,0,201188,"Shot Chart Detail",18,"Marc Gasol",1610612763,"Memphis Grizzlies",9,22,"Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.",16,-123,113,"Tim Duncan","Tim","F",83,250,39,"17"
"9",1495,21400375,"DEC 17, 2014 - MEM @ SAS","A","W",1,10,4,"1:25",14.5,0,0.7,2,"missed","Duncan, Tim",7.1,0,0,201188,"Shot Chart Detail",473,"Marc Gasol",1610612763,"Memphis Grizzlies",1,22,"Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.",15,0,154,"Tim Duncan","Tim","F",83,250,39,"17"
"10",1495,21400282,"DEC 05, 2014 - MEM vs. SAS","H","L",-6,14,3,"8:24",11.8,0,1,2,"missed","Duncan, Tim",6.3,0,0,201188,"Shot Chart Detail",273,"Marc Gasol",1610612763,"Memphis Grizzlies",8,21,"Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.",18,6,184,"Tim Duncan","Tim","F",83,250,39,"17"
